nclnlsr,  Noncurrent loans to loans  
ncrenrer,  Percent Loans Noncurrent: Commercial real estate  
ncremulr,  Percent Loans Noncurrent: Multifamily residential  
ncreresr,  Percent Loans Noncurrent: 1-4 family residential  
ncrelocr,  Percent Loans Noncurrent: Home equity loans  
ncrereor,  Percent of loans noncurrent - All other family  
idnccir,  Percent Loans noncurrent:Commercial and industrial loans  
idncconr,  Percent Loans Noncurrent: Loans to individuals  
idnccrdr,  Percent Loans Noncurrent: Credit card loans  
idnccoor,  Percent Loans Noncurrent: Other loans to individuals
nccomrer,  Percent Loans Noncurrent:Commercial RE not secured by RE